,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d
44,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
43,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
42,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
41,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
40,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
39,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
38,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
37,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
36,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
35,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
34,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
33,Agustin_C,Cuatrovientos,67,0.11,Agustin_C - Cuatrovientos,10.034716,-73.237105,9.739005,-73.709335
1468,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1469,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1513,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1512,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1511,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1510,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1509,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1508,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
48,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
1507,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1505,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
1474,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1473,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1472,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1471,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1470,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1506,Ye,Planeta_Rica,44,0.11,Ye - Planeta_Rica,8.812305,-75.508261,8.412749,-75.584048
49,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
50,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
51,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
1451,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1450,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1449,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1448,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1447,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1446,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1452,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1445,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1443,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1442,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1441,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1440,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1439,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1438,Tunja,Bogota,122,0.11,Tunja - Bogota,5.544642,-73.357557,4.710989,-74.072092
1444,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1296,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1453,Tunja,Chiquinquira,76,0.11,Tunja - Chiquinquira,5.544642,-73.357557,5.614775,-73.819571
1455,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
52,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
53,Agustin_C,San_Roque,98,0.11,Agustin_C - San_Roque,10.034716,-73.237105,9.288159,-73.510852
1467,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1466,Valledupar,La_Paz,19,0.11,Valledupar - La_Paz,10.474245,-73.243633,10.382467,-73.168945
1465,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1464,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1454,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1463,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1461,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1460,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1459,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1458,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1457,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1456,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1462,Valledupar,Bosconia,95,0.11,Valledupar - Bosconia,10.474245,-73.243633,9.970362,-73.890531
1295,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
150,Barranquilla,Cartagena,110,0.11,Barranquilla - Cartagena,11.004107,-74.806981,10.391049,-75.479426
1293,Santa_Marta,Barranquilla,84,0.11,Santa_Marta - Barranquilla,11.240355,-74.211023,11.004107,-74.806981
1223,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
1224,S_Juan_Cesar,La_Paz,61,0.11,S_Juan_Cesar - La_Paz,10.766667,-73.0,10.382467,-73.168945
319,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
318,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
317,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
316,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
315,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
314,Bosconia,La_Gloria,63,0.11,Bosconia - La_Gloria,9.970362,-73.890531,9.792971,-74.328003
